diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,temp_max,Umd_ relativa,direcao_vento.,Vel_vento
25,0,1,-17.1970,-57.9890,10.3,32.6,60,21,2.1
25,0,1,-17.2140,-57.8860,26.6,32.6,60,21,2.1
27,0,1,-17.0670,-57.8910,36.8,34.2,43,349,1.9
27,0,1,-17.2000,-57.8330,32,34.2,43,349,1.9
27,0,1,-17.2160,-57.9690,23.4,34.2,43,349,1.9
27,0,1,-17.2170,-57.8250,20.5,34.2,43,349,1.9
27,0,1,-17.2240,-57.8300,85.5,34.2,43,349,1.9
27,0,1,-17.2290,-57.8240,102,34.2,43,349,1.9
27,0,1,-17.2310,-57.8410,75.2,34.2,43,349,1.9
3,0,0.2,-17.2590,-57.9630,13.2,32,67,31,2.6
4,4,0.4,-16.5860,-57.6450,12.6,34.4,55,276,1.4
6,0,0.5,-17.0820,-57.9150,15.7,34.5,53,7,2.1
6,0,0.8,-16.5860,-57.6440,13.3,34.5,53,7,2.1
5,0,1,-16.1870,-58.7320,126.2,34.5,53,7,2.1
5,0,1,-16.1850,-58.7390,114.9,34.5,53,7,2.1
6,0,1,-16.1770,-58.7520,51.3,34.5,53,7,2.1
6,0,1,-16.1740,-58.7330,26.2,34.5,53,7,2.1
6,0.5,1,-16.3020,-58.7190,24.7,35.3,48,353,2
6,0.4,1,-16.2990,-58.7040,28,35.3,48,353,2
4,2.2,0.1,-17.2870,-57.9330,8.8,34.9,49,288,1.5
0,5.6,0,-17.1730,-57.9080,4.2,34.9,49,288,1.5
0,6.8,0,-17.1690,-57.8790,5.9,34.9,49,288,1.5
4,0,0.4,-17.2230,-57.8290,40.5,32.3,75,60,1.9
4,0,1,-16.3410,-57.3730,19.6,32.3,75,60,1.9
4,0,0.4,-17.3260,-57.9570,21,30.5,61,354,1.6
8,0,0.6,-16.5610,-57.5150,8.6,33.1,47,24,1.7
10,0,1,-16.2770,-58.0190,18.3,33.5,44,33,2.6
10,0,0.9,-16.2780,-58.0320,12,33.5,44,33,2.6
15,0,0.7,-16.1710,-57.5690,4.6,32.6,40,55,2.7
14,0,1,-16.1940,-58.7430,7.2,32.6,40,55,2.7
10,0,1,-17.0040,-57.8570,19.2,32.4,46,59,2.6
6,0,1,-17.2390,-57.9540,6.8,32.4,46,59,2.6
6,0,1,-17.2400,-57.9650,6.7,32.4,46,59,2.6
20,0,1,-16.3260,-57.9860,22.8,32.3,43,35,1.7
20,0,1,-16.3290,-58.0020,45.7,32.3,43,35,1.7
20,0,1,-16.3350,-57.9950,64.4,32.3,43,35,1.7
9,0,1,-17.2250,-57.9210,24.8,32.3,43,35,1.7
9,0,1,-17.2360,-57.9190,38,32.3,43,35,1.7
9,0,1,-17.1430,-57.9200,31.2,28.8,33,327,1.9
